frame,indiv1.midFace_x,indiv1.midFace_y,indiv1.HandL_x,indiv1.HandL_y,indiv1.HandR_x,indiv1.HandR_y,indiv2.midFace_x,indiv2.midFace_y,indiv2.HandL_x,indiv2.HandL_y,indiv2.HandR_x,indiv2.HandR_y,indiv1.Face_x,indiv1.OuterEar_x,indiv2.Face_x,indiv2.OuterEar_x,indiv1.Face_y,indiv1.OuterEar_y,indiv2.Face_y,indiv2.OuterEar_y
0,207.4295,199.6405,279.422,333.962,259.785,343.936,553.9275,180.0005,491.463,302.142,510.451,324.808,220.301,194.558,536.127,571.728,201.374,197.907,179.903,180.098
1,208.528,199.6405,279.422,333.983,259.872,344.145,555.825,180.86149999999998,495.941,302.928,511.105,325.239,222.498,194.558,539.744,571.906,201.374,197.907,181.38,180.343
2,208.6155,199.7285,280.145,333.983,259.955,344.145,555.8475000000001,180.86149999999998,495.981,303.162,511.105,325.239,222.498,194.733,539.758,571.937,201.448,198.009,181.38,180.343
3,208.57549999999998,199.8085,280.145,333.983,259.955,344.497,555.95,180.97050000000002,496.259,303.162,510.938,325.239,222.516,194.635,539.814,572.086,201.71,197.907,181.38,180.561
4,208.528,199.67849999999999,279.695,333.962,260.088,344.497,555.9765,180.97050000000002,495.981,303.162,510.938,325.239,222.498,194.558,539.867,572.086,201.492,197.865,181.38,180.561
5,208.418,199.599,279.804,333.509,260.158,344.476,555.9765,180.875,496.127,302.707,510.93,325.11,222.308,194.528,539.867,572.086,201.492,197.706,181.192,180.558
6,207.945,199.7775,280.28,333.509,260.622,344.476,555.9765,180.8735,496.558,302.455,510.93,325.066,221.868,194.022,539.867,572.086,201.868,197.687,181.192,180.555
7,207.9135,199.7775,280.28,334.068,260.733,344.497,553.79,180.875,498.382,301.962,510.93,325.066,221.866,193.961,536.389,571.191,201.868,197.687,181.192,180.558
8,207.64749999999998,199.7775,279.804,333.719,260.622,344.476,553.2365,180.8175,498.619,301.173,510.847,325.062,221.396,193.899,535.359,571.114,201.868,197.687,181.08,180.555
9,207.68349999999998,199.911,279.804,334.161,260.622,344.685,553.1015,180.6765,498.619,301.173,510.847,325.062,221.468,193.899,535.238,570.965,202.098,197.724,180.865,180.488
10,207.68349999999998,199.913,280.201,334.161,260.622,344.685,552.6785,180.6765,498.619,300.783,510.779,324.565,221.468,193.899,535.144,570.213,202.098,197.728,180.865,180.488
11,207.54950000000002,199.9375,279.716,333.719,260.574,344.258,552.23,180.0975,498.647,300.783,510.779,324.527,221.263,193.836,534.261,570.199,202.098,197.777,180.759,179.436
12,207.4305,200.0725,279.344,333.719,259.379,344.258,552.1255,180.002,498.238,301.173,510.693,323.827,221.025,193.836,534.108,570.143,202.339,197.806,180.611,179.393
13,207.536,200.0725,279.054,333.724,259.379,345.349,552.05,179.712,496.821,301.627,510.575,323.322,221.21,193.862,533.957,570.143,202.339,197.806,180.611,178.813
14,207.61200000000002,200.055,277.943,333.666,258.263,345.349,551.6985,179.712,496.596,301.627,510.28,323.322,221.21,194.014,533.254,570.143,202.333,197.777,180.611,178.813
15,207.61200000000002,200.03449999999998,277.809,333.539,257.767,345.427,551.6505,179.712,496.596,301.627,510.28,323.827,221.21,194.014,533.175,570.126,202.333,197.736,180.611,178.813
16,208.12,199.9955,277.789,333.724,255.178,345.614,551.061,181.0795,496.482,301.707,510.138,325.023,221.562,194.678,533.066,569.056,202.333,197.658,181.144,181.015
17,208.57150000000001,199.714,277.092,333.733,254.824,345.646,551.061,181.2455,496.596,302.679,510.28,325.425,222.202,194.941,533.066,569.056,202.132,197.296,181.476,181.015
18,208.785,199.642,274.652,337.381,254.824,345.768,551.061,181.2455,496.654,302.703,510.494,326.309,222.337,195.233,533.066,569.056,201.988,197.296,181.476,181.015
19,208.86700000000002,199.4645,274.49,337.695,254.824,345.869,551.5364999999999,181.19400000000002,496.893,302.813,510.532,326.309,222.501,195.233,533.101,569.972,201.581,197.348,181.476,180.912
20,208.993,199.423,273.818,337.695,258.69,346.614,551.874,181.19400000000002,496.893,302.813,510.566,326.443,222.501,195.485,533.731,570.017,201.498,197.348,181.476,180.912
21,208.993,199.41199999999998,273.818,337.848,258.824,346.7,551.8745,181.298,496.893,302.703,510.566,326.885,222.501,195.485,533.732,570.017,201.498,197.326,181.684,180.912
22,207.579,199.373,273.818,337.848,258.936,346.753,551.8745,181.566,496.893,302.652,510.566,326.632,219.673,195.485,533.732,570.017,201.398,197.348,182.19,180.942
23,207.4505,199.402,273.703,338.626,258.824,346.753,551.922,181.847,496.42,302.501,510.635,326.478,219.673,195.228,533.737,570.107,201.398,197.406,182.294,181.4
24,207.25150000000002,199.362,273.703,338.626,258.776,346.78,551.91,182.03750000000002,491.988,301.869,510.635,326.632,219.673,194.83,533.938,569.882,201.398,197.326,182.382,181.693
25,207.123,199.019,273.703,338.626,258.776,346.842,551.9735000000001,182.074,491.988,301.869,510.537,327.229,219.416,194.83,534.065,569.882,200.759,197.279,182.445,181.703
26,207.364,199.081,273.623,338.585,258.316,346.842,552.1320000000001,182.074,491.988,301.883,510.635,327.229,219.898,194.83,534.065,570.199,200.628,197.534,182.445,181.703
27,207.418,199.1395,273.623,338.389,258.316,346.859,552.156,182.0995,491.834,301.505,510.635,327.275,219.898,194.938,534.065,570.247,200.628,197.651,182.506,181.693
28,207.418,199.1395,273.623,338.385,258.316,346.859,552.1165,181.86950000000002,491.988,301.883,510.537,327.275,219.898,194.938,533.774,570.459,200.628,197.651,182.445,181.294
