frame,indiv1.Face_x,indiv1.OuterEar_x,indiv1.HandL_x,indiv1.HandR_x,indiv2.Face_x,indiv2.OuterEar_x,indiv2.HandL_x,indiv2.HandR_x,indiv1.Face_y,indiv1.OuterEar_y,indiv1.HandL_y,indiv1.HandR_y,indiv2.Face_y,indiv2.OuterEar_y,indiv2.HandL_y,indiv2.HandR_y,indiv1.midFace_x,indiv1.midFace_y,indiv2.midFace_x,indiv2.midFace_y
0,256.089,224.612,292.771,262.815,540.843,566.818,534.062,506.281,166.927,164.817,318.778,329.071,185.358,188.909,267.752,268.263,240.3505,165.872,553.8305,187.1335
1,256.635,225.081,292.771,266.928,541.209,567.096,534.133,506.319,166.989,165.186,318.927,329.504,185.568,189.344,267.755,268.263,240.858,166.0875,554.1525,187.456
2,256.817,225.559,292.88,266.928,541.209,567.279,534.133,506.319,167.315,165.211,318.927,329.504,185.568,189.344,267.811,268.413,241.188,166.263,554.244,187.456
3,256.94,225.582,292.88,263.689,541.209,567.279,534.062,506.319,167.315,165.211,318.927,329.071,185.568,189.35,267.811,268.497,241.261,166.263,554.244,187.459
4,256.952,225.738,292.869,266.906,540.761,567.279,534.045,506.314,167.315,165.389,318.927,329.504,185.543,189.35,267.755,268.487,241.345,166.352,554.02,187.4465
5,257.045,225.738,292.869,263.689,540.761,567.284,534.023,506.314,167.331,165.392,318.906,328.856,185.49,189.706,267.755,268.487,241.3915,166.3615,554.0225,187.598
6,257.045,225.738,292.869,263.689,540.703,567.248,534.023,506.314,167.331,165.837,318.906,328.644,185.445,189.937,267.951,268.487,241.3915,166.584,553.9755,187.691
7,257.045,225.695,292.782,263.836,540.578,566.74,534.023,506.34,167.719,165.843,319.052,328.644,185.459,189.937,268.083,268.474,241.37,166.781,553.659,187.698
8,256.914,225.586,292.782,263.907,540.517,566.74,534.231,506.34,167.719,165.872,319.187,328.856,185.459,189.937,268.141,268.465,241.25,166.7955,553.6285,187.698
9,256.914,225.586,292.782,263.907,540.517,567.109,534.231,506.43,167.719,165.872,319.187,328.856,185.445,189.903,268.172,268.465,241.25,166.7955,553.813,187.674
10,256.843,225.586,292.81,263.907,540.517,567.108,534.264,506.34,167.702,165.872,319.187,329.24,185.336,189.654,268.215,268.474,241.2145,166.787,553.8125,187.495
11,256.573,225.695,292.81,263.907,540.614,567.108,534.264,506.278,167.688,165.872,318.552,329.24,185.333,189.549,268.376,268.507,241.134,166.78,553.861,187.441
12,256.24,225.285,292.896,263.153,540.621,567.108,534.351,506.224,167.085,165.968,318.552,329.24,185.328,189.244,268.707,268.823,240.7625,166.5265,553.8645,187.286
13,256.091,225.285,292.845,263.153,540.695,566.643,534.587,506.224,166.855,166.171,318.552,329.055,185.235,189.196,268.903,269.05,240.688,166.513,553.669,187.2155
14,256.012,224.887,292.81,262.587,540.786,566.557,534.587,506.224,166.814,166.171,318.726,328.274,185.205,188.823,269.193,269.05,240.4495,166.4925,553.6715,187.014
15,255.973,224.887,292.692,262.587,540.786,566.464,534.587,506.235,166.814,166.171,318.726,328.218,185.199,188.785,269.193,269.038,240.43,166.4925,553.625,186.992
16,255.973,224.887,292.409,263.153,540.786,566.347,534.061,506.224,167.085,166.58,318.726,328.218,185.055,188.477,269.193,269.12,240.43,166.8325,553.5665,186.766
17,256.012,225.063,292.21,262.143,540.64,566.015,534.014,506.186,168.115,167.082,318.686,328.198,185.045,188.33,269.104,269.12,240.5375,167.5985,553.3275,186.6875
18,256.052,225.652,291.992,261.249,540.471,566.015,533.909,506.235,171.784,168.552,318.653,328.198,184.965,188.33,268.859,269.12,240.852,170.168,553.243,186.6475
19,256.643,226.444,291.811,261.249,540.387,566.347,533.737,506.204,172.018,169.127,318.653,328.392,184.885,188.33,268.85,269.372,241.5435,170.5725,553.367,186.6075
20,257.145,229.81,291.466,261.547,540.387,567.045,533.893,506.204,172.018,169.637,318.653,328.392,184.884,188.735,268.859,269.372,243.4775,170.8275,553.716,186.8095
21,257.193,229.81,291.402,261.547,540.405,567.045,533.893,506.236,172.018,169.637,318.683,328.144,184.815,188.769,268.859,269.372,243.5015,170.8275,553.725,186.792
22,257.564,230.049,291.402,261.547,540.355,567.062,533.737,506.32,171.769,169.732,318.683,328.144,184.815,188.769,268.859,269.372,243.8065,170.7505,553.7085,186.792
23,258.22,230.308,291.466,261.547,540.298,567.062,533.652,506.513,171.753,169.833,318.683,327.669,184.798,188.735,268.859,269.367,244.264,170.793,553.68,186.7665
24,258.272,230.73,291.505,261.753,540.208,566.943,533.423,506.52,171.753,169.934,318.32,327.669,184.798,188.741,268.878,269.367,244.501,170.8435,553.5755,186.7695
25,258.657,230.654,291.538,261.753,539.912,566.671,533.423,506.553,171.761,169.966,318.32,327.669,184.798,188.546,268.918,269.413,244.6555,170.8635,553.2915,186.672
26,258.657,230.671,291.683,263.119,539.875,565.896,533.652,506.735,171.769,169.966,318.066,327.669,185.004,188.546,269.378,269.413,244.664,170.8675,552.8855,186.775
27,258.657,230.671,291.782,263.305,539.769,565.837,533.797,506.735,171.777,169.934,317.915,327.669,185.044,188.546,269.453,269.527,244.664,170.8555,552.803,186.795
28,258.754,230.73,291.683,267.415,539.153,564.436,534.056,506.741,171.962,169.652,318.32,324.84,185.202,188.546,269.453,269.564,244.742,170.807,551.7945,186.874
29,258.606,230.828,291.683,275.432,539.107,562.326,534.092,506.741,172.037,169.652,318.64,292.638,185.202,188.492,269.428,269.564,244.717,170.8445,550.7165,186.847
30,258.44,230.828,291.006,275.432,539.093,562.189,534.092,507.081,172.256,169.626,321.18,292.638,185.242,188.492,269.453,269.564,244.634,170.941,550.641,186.867
31,257.843,230.828,290.941,275.432,535.778,560.757,534.056,507.114,172.331,169.375,322.539,292.638,185.242,188.492,269.453,269.564,244.3355,170.853,548.2675,186.867
32,257.836,229.565,290.473,280.4986,534.796,559.728,533.615,507.114,172.385,168.556,322.633,279.8488,185.242,188.387,269.501,269.437,243.7005,170.4705,547.262,186.8145
33,257.3,229.309,290.126,285.5652,534.726,559.415,533.61,507.215,172.649,168.556,322.633,267.0596,185.751,188.308,269.502,269.437,243.3045,170.6025,547.0705,187.0295
34,256.449,227.185,289.721,290.6318,533.342,557.558,533.162,508.181,172.385,168.076,323.652,254.2704,185.751,188.308,269.502,272.282,241.817,170.2305,545.45,187.0295
35,256.302,226.78,289.721,295.6984,533.278,557.416,532.549,508.325,172.331,167.911,324.241,241.4812,185.751,188.137,269.502,272.701,241.541,170.121,545.347,186.944
36,256.189,226.685,290.126,300.765,530.531,556.801,532.392,511.839,172.196,166.576,326.443,228.692,185.563,188.05,269.502,274.602,241.437,169.386,543.666,186.8065
37,256.189,226.523,290.126,300.765,530.369,556.012,531.995,512.115,171.866,166.376,326.456,221.034,185.682,188.05,273.677,275.057,241.356,169.121,543.1905,186.866
38,256.189,225.851,290.518,307.425,530.059,555.402,531.995,512.115,171.866,166.376,326.456,221.01,185.563,188.05,274.211,275.057,241.02,169.121,542.7305,186.8065
39,256.189,225.851,290.518,308.243,529.991,555.254,532.392,511.839,171.866,166.576,326.443,221.01,185.504,187.894,274.448,275.057,241.02,169.221,542.6225,186.699
40,256.145,225.851,290.518,308.322,526.785,555.028,532.564,509.098,171.866,166.666,325.164,221.034,184.736,187.894,274.448,274.992,240.998,169.266,540.9065,186.315
41,255.985,227.226,290.017,308.322,526.566,554.742,532.564,508.52,171.879,169.151,324.66,228.468,184.267,187.641,274.448,274.992,241.6055,170.515,540.654,185.954
42,255.985,227.509,290.017,308.322,526.283,554.664,532.564,508.52,171.898,169.782,324.608,229.285,184.176,186.724,274.591,274.992,241.747,170.84,540.4735,185.45
43,256.145,229.273,290.017,308.322,526.142,552.624,532.027,508.619,172.258,169.836,324.307,244.22,183.175,186.457,275.028,275.25,242.709,171.047,539.383,184.816
